Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2024,08,217000,123,0415,25280 ,00000 ,23183 ,216,24540, , ,80620      ,4,8,0,Evans,21,21,5854035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,219000,093,0425,25610 ,00000 ,803 ,216,19740, , ,804400267  ,4,8,12,Fairplay town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,221000,001,0430,26270 ,00000 ,13598 ,216,19740, , ,80221      ,4,8,12,Federal Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,223000,123,0435,26600 ,00000 ,15298 ,216,24540, , ,80504      ,4,8,12,Firestone town,155,155,83945150,0,0,0,2,6,1077221,3,96,16282891,155,155,83945150,0,0,0,2,6,1077221,3,96,16282891
2024,08,225000,063,0440,26765 ,00000 ,567 ,999,99999, , ,80815      ,4,8,12,Flagler town,2,2,355000,0,0,0,0,0,0,0,0,0,2,2,355000,0,0,0,0,0,0,0,0,0
2024,08,227000,075,0445,26875 ,00000 ,405 ,999,44540, , ,80728      ,4,8,12,Fleming town,1,1,100000,0,0,0,0,0,0,0,0,0,1,1,100000,0,0,0,0,0,0,0,0,0
2024,08,229000,043,0450,27040 ,00000 ,3982 ,444,15860, , ,81226      ,4,8,12,Florence,23,23,5261477,0,0,0,0,0,0,0,0,0,23,23,5261477,0,0,0,0,0,0,0,0,0
2024,08,231000,069,0455,27425 ,00000 ,168234 ,999,22660, ,1,80524      ,4,8,12,Fort Collins,371,371,105444438,2,4,425000,0,0,0,19,310,58976055,371,371,105444438,2,4,425000,0,0,0,19,310,58976055
2024,08,233000,123,0465,27700 ,00000 ,8666 ,216,24540, , ,806211343  ,4,8,12,Fort Lupton,164,164,36079273,0,0,0,0,0,0,0,0,0,164,164,36079273,0,0,0,0,0,0,0,0,0
2024,08,235000,087,0470,27810 ,00000 ,11249 ,999,22820, ,2,80701      ,4,8,12,Fort Morgan,18,18,8419370,3,6,903239,10,37,4064974,2,105,19355511,18,18,8419370,3,6,903239,10,37,4064974,2,105,19355511
2024,08,239000,089,0480,27975 ,00000 ,1149 ,999,99999,2, ,810391134  ,4,8,12,Fowler town,1,1,265000,0,0,0,0,0,0,0,0,0,1,1,265000,0,0,0,0,0,0,0,0,0
2024,08,240000,005,0483,28105 ,00000 ,771 ,216,19740, , ,80108      ,4,8,12,Foxfield town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,243000,123,0490,28360 ,00000 ,11515 ,216,24540, , ,805300435  ,4,8,12,Frederick town,62,62,23072194,0,0,0,0,0,0,1,40,11879470,62,62,23072194,0,0,0,0,0,0,1,40,11879470
